Wikipedia 	930: Hucbaldo, monje y ⁇  de la zona de ⁇  (artículo 840).	930: Hucbaldo, monje ha atõi ojapóva Hyãsia pegua (ary reñói 840).
Wikipedia 	En nuestro país, el ISL es el único que puede aprender de las Lenguas Médicas, según el documento Po 64/00 de la Educación del Ministerio del Ambiente (MEC), transmitido en las cartas del MEC y de la UNA.	Ñane retâme, ISL añoite ikatu oikuaara'â umi Ñe'ê'asahararâme, péicha he'i kuatiapyre Pº 64/00 osêva Tekombo'e Yvategua Sâmbyhyha Guasúgui (MEC), oñemboajeva'ekue MEC ha UNA kuatiañe'ême'ê rupi.
Wikipedia 	Se estima que fue el día 19 de febrero de 2017.	Ojehechákuri árape: 19 de febrero de 2017.
Wikipedia 	La tradición de los ejecutivos es que no se puede quedar en un solo lugar por la necesidad de utilizar la ropa.	Enxet-kuéra rekojepokuaa Ha'kuéra ndahekopytái, ndaikatúi opyta are peteĩ hendápe ojeporekava'erãgui hemikotevẽmby rehe.
Wikipedia 	1991: Joe McElderry, de la tribu de Galacia;	1991: Joe McElderry, opurahéiva ha modélo Vyretáña pegua.
Wikipedia 	El guyra no sobrevive, siempre está disponible.	Guyra ndoveveiva, ojepokuita porãete.
Wikipedia 	En 1957: Carlos Marcucci, bandoneonista de la Argentina en tango (alrededor de 1903).	1957: Carlos Marcucci, bandoneonista Argentina pegua de tango (ary reñói: 1903).
Wikipedia 	Gregório de Matos y Guerra (7 de abril de 1636 — 26 de marzo de 1696) fue un manojo de nervios en la isla.	Gregório de Matos e Guerra (7 jasyrundy 1636 — 26 jasypateĩ 1696) ha'e akue peteĩ ñe'ẽpapára varróko Pindorama pegua.
Wikipedia 	La primera en esta ciudad es Libreville, Port-Gentil y Franceville y es la ciudad de Gavõ en el país de la Libertad del país el día 17 de agosto del año 1960.	Itavusu ha itáva tenondegua ha'e Libreville, Port-Gentil ha Franceville ha'e avei táva guasu Gavõ retãme Isãso Hyãsia retãgui ára 17 jasypoapy ary 1960 guive, ku tavakuairetãre mbohapy tendota oisãmbyhy.
Wikipedia 	1980: Francesca Schiavone, tenista de la isla.	1980: Francesca Schiavone, tenista Itália pegua.
Wikipedia 	1987: Ersan  ⁇ lyasova, ⁇  turco.	1987: Ersan İlyasova, baloncestista turco.
Wikipedia 	1918: Ben Johnson, el leproso, que murió en la provincia de Creta;	1918: Ben Johnson, mba'eapohára Tetãvore Joapykuéra pegua (ary omano: 1996).
Wikipedia 	1956: Pedro Omar Caino, ciclista de la nave de ⁇  (muerte en 2014).	1956: Pedro Omar Caino, ciclista Arhentína pegua (ñemano ary 2014).
Wikipedia 	 ⁇ : Francisco Rodríguez Adrados, filólogo de la zona del euro.	1922: Francisco Rodríguez Adrados, filólogo Epáña pegua.
Wikipedia 	En la ciudad de Coronel Oviedo, el camino que une la calle 2, termina en la ciudad de Asunción; y en la ciudad de Ciudad del Este, en el lugar de ⁇ , el tramo que separa a Paraná se conecta con la ruta BR-277. km 201: Juan Manuel Frutos, km 180: Coronel Oviedo (Mboaguazú) km 72: Doctor Juan E	Kuarahyreikepe, táva Coronel Oviedope, ku tape ombojoaju tape guasu 2, opava táva guasu Asunción-pe; ha kuarahyresẽme, táva Ciudad del Estepe, Pindorama renda, tetãvore Parana ombojoaju tape guasu BR-277. km 201: Juan Manuel Frutos km 180: Jehasaha repy Minga Guazi Táva ha tava guasu 1.000 tavayguakuéra ndie ko tape guasu ohasava kuarahyreike guive kuarahyresẽ peve ha'e: km 0: Coronel Oviedo (Mbohapemokõi 2 ha 8) km 47: Caaguazú km 72: Doctor Juan Manuel Frutos km 84: Doctor Juan Eulogio Estigarribia km 112: José Domingo Ocampos km 118: Juan E. O'Leary km 130: Dr. Juan León Mallorquín km 156: Yguasu km 180: Minga Guasu (Mbohapemokõi Tape 6) km 193: Ciudad del Este Ysyry Ural (rrusiañe'ẽme: Урал, Ural; kasahiñe'ẽme: Жайық, Zhayyq) ha'e hína peteĩ ysyry puku oñepyrũva Rrusia retaãme ha osẽva Kazajistán retãme, pe para Káspiope, tembiasakuére ojekuaa ku ysyry omboja'o hína Európa ha Asia yvyrusu.
Wikipedia 	Aníbal Cavaco Silva, el evangelista,	1939: Aníbal Cavaco Silva, ojokuaikuaáva Poytuga pegua.
Wikipedia 	La Limpia o el Jaguar rojo (gritando: Puma - León de Montaña) es un animal de cría y se parece al jaguar, el cual es un cerdo, un guitarrista, en toda la región de América.	Jaguapytã térã Jagua pytã (karaiñe'ẽ: Puma - León de Montaña) ha'e peteĩ mymba okambúva ha ojoguáva jaguarete, so'o'úva, mbarakajarundi, opaite Amérika pegua.
Wikipedia 	Villeta queda a orillas del río Paraguay en el octavo (38) hueco de la ciudad de Paraguay.	Villeta opyta ysyry guasu Paraguái rembe'ype mbohaoypa poapy (38) supukue tavaguasu Paraguaygui.
Wikipedia 	De la misma manera que en 2015, viven 1.132.686 pobladores de la zona.	Ojepapaháicha ary 2015-pe, oiko 1.132.686 tavayguakuéra ko táva ipype.
Wikipedia 	Velasco, Juan Valeriano Zaballos, José Gaspar Rodríguez de Francia y Fulgencio Yegros se unieron a Pedro Juan Caballero.	Velasco, Juan Valeriano Zaballos, José Gaspar Rodríguez de Francia ha Fulgencio Yegros ojepytaso hikuái Pedro Juan Caballero ndive.
Wikipedia 	El distrito electoral de Montenegyro es la segunda ciudad más grande del país, con una extensión que se extiende hasta el año 2011, en la cual viven 56.970 ciudadanos.	Nikšić hína Montenégyro itáva tuichavéva 2ha, ojeipapaháicha ary 2011-pe, ko távape oiko amo 56.970 tavayguakuéra.
Wikipedia 	El Ao posea el año y el año que viene, con el fin de que muchas mujeres activas y activas puedan trabajar en el centro de la ciudad.	Pe Ao po'i jehechuka ary ha ary ija heta kuñakarai kyre'ỹ omba'aposéva upe tavapegua ikatúva ohechuka hembiapo aporeko.
Wikipedia 	Cuando Benedicto XVI dejó el gran festín, estaba sentado al servicio de los sacerdotes y brindando el servicio de Dios a los pobres, a los pobres y a los pobres del colegio, donde se suele andar dando la vida a Dios y en las reuniones donde están los que van a perder a Dios; también estaba el apoyo de la Comisión a los hermanos y a la Comisión del Papa para América Latina.	Benedicto XVI ohejávo ipyenda guasuete, ha'e oĩkuri Pa'i'aty Tupã ñemomorãrã ha Tupãremime'ẽ purukaturãme, avarekuérape g̃uarã, avei mbo'ehao oĩháme ome'ẽva hekove Tupãme ha atykuéra oĩháme umi ohapykuehóva Tupãme; upéicha avei oĩkuri Papapytyvõha Aty oñopehẽnguépe g̃uarã ha Pápa Atyguasu Amérika Latina-pe g̃uarã.
Wikipedia 	Por ejemplo: A -BO - CH - E - U - G - G - G& - H - I -  ⁇  - J - K - L - M - M - M - M - M - M - M - M - M - M - M - M - M - M - M - M - M - M - M - M - M - M - M - M - N - ND - NG - NG - NT - Ñ	Techapyrã: A - Ã - CH - E - Ẽ - G - G̃ - H - I - Ĩ - J - K - L - M - MB – N - ND - NG - NT - Ñ - O - Õ - P - R - RR - S - T – U - Ũ - V - Y - Ỹ - ' (puso).
Wikipedia 	La mayor parte de los idiomas oficiales del país son 24.300.000, del país de Ehipto al 65.900.000, del país a 245.000, del país al Liviano al 3.450.000, del país al 5.300.000 del país al 20.900.000 del Marruéko al 20.900.000 del país al Palestina y al 16.600.000 del país al 9.400.000 del país y del país al 1.200.000	Araveñe'ẽ ñe'ẽhára hetakue ha'e Ayhelia retãme 24.300.000, Ehipto retãme 65.900.000, Israel retãme 2.045.000, Lívano retãme 3.450.000, Livia retãme 5.300.000, Marruéko retãme 20.900.000, Palestína retãme 3.085.000, Síria retãme 16.600.000, Túne retãme 9.400.000 ha Tuykia retãme oĩ 1.200.000 ñe'ẽhára.
Wikipedia 	Es más fácil que el dolor no se rompa, porque el dolor no afecta a nadie.	Oporombohasa'asyve avei upe mba'asypararã ndojepohéiri ramo ova pya'eve tapicha tapicháre.
Wikipedia 	1981: Zara Phillips, aristócrata y jineta de la ⁇ .	1981: Zara Phillips, aristócrata ha jinete Vyretáña pegua.
Wikipedia 	Este año, la ley No 426 de División de Política del Territorio, desaloja las tierras de los campesinos de Caaguazú y Alto Paraná, zonas situadas al norte de Itambéy, que quedan bajo la jurisdicción del distrito de Salto del Guairá.	Pe arýpe pe ley Nº 426 de División Política del Territorio rupi, ojei ijyvy tetãvorekuéra Caaguazú ha Alto Parana avei, tenda oĩva yvate gotyo ysyry Itambeýgui, ãva opyta distrito de Salto del Guairá poguýpe.
Wikipedia 	2.5.1- Puay: muelles del mandato de Gramática y Plus Arte, Vocabulario y Tesoro de la Lengua Guaraní.	2.5.1- Puay: quay precepto mandato Gramática y Diccionarios Arte, Vocabulario y Tesoro de la Lengua Tupi o Guaraní.
Wikipedia 	1986: Peadar O'Donnell, ⁇  y escritor ⁇  (ary Morgan ⁇ ).	1986: Peadar O'Donnell, jokuaikuaahára ha haihára irlandés (ary reñói 1893).
Wikipedia 	De la misma manera, aun en los días de reposo, cuando entra en su reposo, ya no hay nada.	Upéicha avei, ñavõ ary, hi'arambotýpe, ohóva guive ha'ãnga'ita oĩháme ojepokuaa hikuái omoĩvo ipópe peteĩ guyra rague pyahu.
Wikipedia 	1984: Khloé Kardashian, famoso y social de la diáspora kirguisa.	1984: Khloé Kardashian, celebridad ha socialité Tetãvore Joapykuéra pegua.
Wikipedia 	1968: Niurka Montalvo, la atleta cubana nacionalizada por la zona.	1968: Niurka Montalvo, atleta cubana nacionalizada Epáña pegua.
Wikipedia 	Por ejemplo: No quiero dirigir (se = palabras clave) No quiero dirigir (es decir = palabras clave) Quiero dirigir (de palabra = palabra clave) a la Corona (me = la palabra clave) 2.3.	Techapyrã: Namboguataséi (se = ñe'ẽteko ñe'ẽpehẽtai) Namboguataséikuri (kuri = ára ñe'ẽpehẽtai) Namboguataseiétekuri (ete = kokatu ñe'ẽpehẽtai) Ryguasume (me = meña ñe'ẽpehẽtai) 2.3.
Wikipedia 	Eduardo es el que lee y también el que lee.	Oñehekombo'e omoñe'ẽ ha ohai haguã kuatia oñemoarandu va'eku upe mbo'ehao opytáva Cañadita-pe.
Wikipedia 	Y ciertamente, Lorenzo permaneció 24 horas en bicicleta, sin pisar tierra y girando solo hacia la izquierda.	Ha añetehápe, Lorenzo hi'arékuri 24 aravo vísi ári, opyrũ'ỹre yvýre ha ojerehápe asu gotyo añoite.
Wikipedia 	Burl Ives, el leproso de ⁇ , murió a causa de la muerte de ⁇  en 1995.	1909: Burl Ives, mba'eapohára Tetãvore Joapykuéra pegua (ary omano: 1995).
Wikipedia 	Últimamente: frutas de colores.	Jasyteĩ: yvavakuéra hi'aju.
Wikipedia 	Ahora bien, la tierra que embebe la lluvia que a menudo viene sobre ella, y que luego produce vegetación apropiada para aquellos para quienes también se cultiva, recibe en cambio una bendición de Dios.	Goya mba'eporã omoñepyrũ upéicha katu ku ñemoha'ãnga ko'ãgagua, ha ojeikuaa chupe ha'éva upe omoñepyrũ tape pyahu ñemoha'ãngáme saro'y XX pegua.
Wikipedia 	Para celebrar la reconciliación, desde el año 1868 se emitió un nuevo decreto con el título de Juramento de Tokio.	Oĩ haguã jokupyty, ary 1868 guive oñeguenohẽva'ekue peteĩ ñe'ẽnunga hendapýva oñemopyendáva ñe'ẽnunga Tokio-peguáre, ojeheróva hyōjungo.
Wikipedia 	En esta ciudad hay 367.410 ciudadanos (ary 2010) y tienen una propiedad pequeña de 487.930 km2.	Ko távape oĩ 367.410 tavayguakuéra (ary 2010) ha oguereko peteĩ yvy pehẽngue 487,930 km2 nunga.
Wikipedia 	Este acuerdo se dio en el año 1753 de Carlos Lineo, y con él se clausuró todo lo acontecido en ⁇ .	Ko ñemohenda ãgagua heñói ary 1753 Carlos Lineo rehegua, ko kuimba'e omohenda opa juehegua oikova.
Wikipedia 	En el año 1787, se realizó la asamblea en la Filadelfia, que comenzó con la presentación de la ley Guasu en el año 1789, y fue elegido como candidato de la Hermandad Musulmana de ⁇ .	Ary 1787-pe, omotenonde upe Amandaje Filadelfia pegua, omoñepyrũhápe upe Léi Guasu jehai ha amo ary 1789-pe, ojeporavo chupe tendota peteĩha Tetãvore Joapykuéra pegua ramo.
Wikipedia 	1830: Guido Gezelle, idioma belga (omano: 1899).	1830: Guido Gezelle, ñe'ẽpapára belga (omano: 1899).
Wikipedia 	El dolor de estómago es una víbora colgada del agua y de la tierra.	Ñakanina ningo ha´e peteĩ mbói pochy oikokuaáva y ha yvy ape ári aveí.
Wikipedia 	1961: María de Rumanía ( nació en 1900).	1961: María de Rumanía (ary heñói 1900).
Wikipedia 	Sualándica, la cual tiene por nombre Catalano de la Calavera, es decir, « El Rey de Suazi ⁇  », se quedó en el desierto del monte Afrikán, en la región de Tibetano, en el desierto y en el desierto.	Suasilándia, héra teéva ha'e hína Tavetã Suasilándia (suasi ñe'ẽme: Umbuso weSwatini; ingyaterrañe'ẽme: Kingdom of Swaziland), ha'e peteĩ tavetã hekosãsóva michĩ ha yhembe'ỹva opytáva yvyrusu Afrika iñemby gotyo, kuarahyresẽ gotyo umi Yvytyrysýi Drakensberg, Yvyafrika ha Mosambike imbytépe, hekuái reko oporokuáiva peteĩme pavẽ.
Wikipedia 	Modernismo e Modernistas.	Modernisme i Modernistes.
Wikipedia 	En el año ⁇  el programa "Nocturno ideal" salió al tercer lugar de Juegos Florales de Maule.	Ary 1919-pe hembiapo hérava "Nocturno ideal" osẽ tenda mbohapyhápe Juegos Florales de Maule-pe.
Wikipedia 	Cuando se acercaron, él... dos hombres salieron diciendo: "Venid, porque trajimos la plata."	Oñemboja hikuái, ha'e... mokõi kuimba'e ndaje osẽkuri he'i uperõ: "Jajo'óna, oiméne niko pláta yvyguy mba'e".
Wikipedia 	Las vías de transporte son de la Ruta VIII del Dr. Blás Garay, donde hay muchos caminos pedregosos y perfumados, donde los caminos negros son como para viajar en tren o en avión.	Vía de transporte rehegua ha'e Ruta VIII Dr. Blás Garay, oĩ heta tapekuéra itágui japopyréva ha yvyreíva, ãva rupi oñeguahẽ tape hũ oĩháme ikatu haguáicha oho avakuéra térã mba'erepy.
Wikipedia 	A nadie se le debe retirar como un reinte a los pacientes.	Avavégui ndojepe'a va'erãi oimeháicha reinte imbáe teéva.
Wikipedia 	Prothero D.R., Schoch R. M (2003).	Prothero D.R, Schoch R. M (2003).
Wikipedia 	En el interior de la ciudad de Malásia, se ven grandes festejos, animales y ka'a, y en el distrito de Malásia, uno de los 17 países más poblados.	Malásia ijyvy apekue ojehecha avei tekove'etaita guasu, opaichagua mymba ha ka'a, ha ojeikuaa Malásia ha'eha peteĩ umi 17 tetãgui ijyvy apekuére ojehecha tekove'etaita guasuitereíva.
Wikipedia 	Fue fundada por el gobernador Juan Gregorio Bazán de Pedraza, en el año 1714 – ese.	Omoheñoi'akue sãmbyhyhára Juan Gregorio Bazán de Pedraza, ary 1714 – pe.
Wikipedia 	1930: Elaine Stewart, viuda y actualizadora de la isla de ⁇  (que murió en 2011).	1930: Elaine Stewart, mba'eapohára ha presentadora Tetãvore Joapykuéra pegua (ary omano: 2011).
Wikipedia 	El reclamo llegó hasta la UNESCO por la voluntad de las Naciones Unidas y la protección del derecho de los escritores.	Pe tembijererure omog̃uahẽkuri UNESCO-pe Tetãita Haimyasãihára Joaju oipotágui tetãrekokuéra oñemyasãive ha avei oñeñangareko hag̃ua haihára rembiapo remimba'ére.
Wikipedia 	Santa Rosa es la cuna de la agropecuaria, donde los establecimientos ganaderos son importantes.	Santa Rosa ha'e zona agropecuaria renda, umi establecimiento ganadero kakuaa oime upépe.
Wikipedia 	En Asunción, Paraguay: Servilibro, 2001.	Paraguaýpe, Paraguay: Servilibro, 2001.
Wikipedia 	Aterrorizados por su gran maldad, decían que estaban a punto de morir por nosotros.	Pe ipochýgui terã okyhyjégui ñandehegui oje'e hese kuéra iñarõha.
Wikipedia 	Resumiendo, esto es mucho mejor que lo que hemos logrado, porque los incas han implementado un sistema político y administrativo y se dice que el monto de la semilla que hemos sembrado no ha tenido, desde nuestro continente hasta América.	Og̃uahẽ hu'ãitépe ipu'aká rehe, Inca-kuéra omotenonde sistema político ha administrativo ha oje'e ambue aty te'ỹi rehegua ndohupytýi hague, ko ñande yvy America tuichaháicha.
Wikipedia 	Cancharana (Calabozo) es el retoño de un madero de tormento, y cantan con el sello de Claudio Maco, cantando.	Cancharana (karaiñe'ẽ: Cedro Maco, cancharana, lasioñe'ẽ: Cabralea oblongifoliola) peteĩ yvyra Ñembyamérikaetéva.
Wikipedia 	En el libro de la ley está escrito: « La justicia y la libertad son sólo 30 años.	Pe kuatiapyre he'i iñe'ẽrenondeguápe: "Ko ore ñemboheko'año ha rekosãso niko mba'eguasuete ha ndahekotapykuéiva 30 ary pukukue javeve.
Wikipedia 	1980: Brandon Armstrong, jugador de más edad de la zona del euro.	1980: Brandon Armstrong, jugador Tetãvore Joapykuéra pegua de baloncesto.
Wikipedia 	1957: Erich von Stroheim, cineasta y fabricante de perlas.	1957: Erich von Stroheim, cineasta ha mba'eapohára Alemáña pegua.
Wikipedia 	Turismo y Ocio.	Turismo y Ocio.
Wikipedia 	1940: Muhammad Yunus, un banquero y economista bengalí.	1940: Muhammad Yunus, banquero ha economista bengalí.
Wikipedia 	Teranánguete (pronombre personal) opinó.	Terarãnguete (pronombre personal) 2.2.
Wikipedia 	Al margen del río: ⁇  Canindeyú.	Yvy yvy gotyo: tetãvore Kanindeju .
Wikipedia 	1914: Camillo Boito, un conocido y escritor de la diáspora (quien nació en 1836).	1914: Camillo Boito, ojogapokuaáva ha haihára Itália pegua (ary heñói 1836).
Wikipedia 	1840: Alphonse Daudet, novelista ⁇  (la muerte en el año ⁇ ).	1840: Alphonse Daudet, novelista Hyãsiaygua (ñemano ary 1897).
Wikipedia 	1927: J. B. Bury, historiador, filólogo y erudito ⁇  (arreglo 1861).	1927: J. B. Bury, historiador, filólogo ha erudito irlandés (ary reñói 1861).
Wikipedia 	Por ejemplo, en el campo de "IJ": éste debe concertar con los instrumentos jurisdiccionales, al tiempo que comienza a pujar y lo que gana es poder final.	Techapyrã: "IJ" puru: Kóva katu oñembojoajuva'erã umi tero juruguá-re, oñepyrũva pu'aépe ha imuanduhéva ipu'ae pahápe.
Wikipedia 	14 de octubre -Día de la Independencia.	14 Jasypateĩ - Tuguyasuka Ára.
Wikipedia 	"Tembi'u Paraguay" de Josefina Velilla de Aquino "Karúcim – Antropología culinaria paraguaya", de Margarita Miró Ibars Guarani Raity Ary es un encuentro de 12 meses.	"Tembi'u Paraguay" de Josefina Velilla de Aquino "Karú rekó – Antropología culinaria paraguaya", de Margarita Miró Ibars Guarani Raity Ary ha'e peteĩ aty 12 jasygui.
Wikipedia 	El Artículo 99925-68-04-6 PGB del Paraguay, Primera Edición de 1999, Editorial Hispana Paraguay SRL Secretaria Nacional de Turismo de la Dirección General de Turismo, Estadísticas y Turismo Coordenadas Geográficas e Imágenes Satelitales: Paraguarí Departamento de Paraguarí ABC Color, Así como es nuestro país la Asociación de la Biblioteca Vi	ISBN 99925-68-04-6 Geografía del Paraguay, Primera Edición 1999, Editorial Hispana Paraguay SRL Secretaria Nacional de Turismo Dirección General de Encuestas, Estadísticas y Censos Coordenadas Geográficas e Imágenes Satelitales: Paraguarí Departamento de Paraguarí ABC Color, Así es nuestro país Asociación Biblioteca Virtual del Paraguay Juan Antonio Escurra peteĩva Paraguái mburuvicha oisãmbyhyva'ekue ko tetã 1902 guive 1904 peve.
Wikipedia 	1843: Charles Albert Gobat, premio nobel de la paz en 1902.	1843: Charles Albert Gobat, jokuaikuaahára suizo, premio nobel de la paz en 1902.
Wikipedia 	Cuantas mujeres dieron a luz, 7 niños.	Mboýpa kuñakuéra imemby, 2,7 mitã.
Wikipedia 	Las palabras fueron aplicadas (Complementos o Modificadores del Verbo) 4.1.	Ñe'ẽtéva moĩmbaha (Complementos o Modificadores del Verbo) 4.1.
Wikipedia 	Escribió Walcyr Carrasco, y realizó Mauro Mendonça Filho.	Ohai Walcyr Carrasco, ha omotenonde Mauro Mendonça Filho.
Wikipedia 	Satisface los conocimientos técnicos y de la redacción.	Ojejapo aranduchauka ñe'ê ha jehai rehegua.
Wikipedia 	Su nombre significa « Lapidario ».	Héra he'ise táva y rembe'ýgua, karaiñe'ẽme.
Wikipedia 	2007: Gianfranco Ferré, diseñador de la zona de ⁇  (alrededor de 1944).	2007: Gianfranco Ferré, diseñador Itália pegua (ary reñói 1944).
Wikipedia 	1833: Manuel Ruiz Zorrilla, político de la zona de ⁇  (la muerte del año ⁇ ).	1833: Manuel Ruiz Zorrilla, político Espáña pegua (ñemano ary 1895).
Wikipedia 	1969: Nikos Aliagas, periodista con mensajes de origen griego.	1969: Nikos Aliagas, momaranduhára Hyãsiaygua de origen griego.
Wikipedia 	3 tomos.	3 tomos.
Wikipedia 	Los integrantes de la milicia fueron perseguidos y apresados desde su seno, por el Partido Comunista de Paraguay, Flores, que siempre jugó a quitar los largos sueños.	Aty ojepersegui ha ojejopyvaiva'ekue ryepy guive, Partido Comunista de Paraguay, Flores akóinte oku'e ombopepo hagua ikera yvoty.
Wikipedia 	Su madre y sus cuatro hermanos se mudaron a Areguá con su abuelo también llamado Francisco.	Upéicha rupi Pancho isy ha irundyve ijoyke'y ova ha oikókuri Areguápe itamói ndive hérava avei Francisco.
Wikipedia 	Estuve en Areguá durante mi estancia.	Ajehecha chemitãmírõ guare Areguápe.
Wikipedia 	y Mariano el mellizo, que era descendiente de Cornelio,	1982: Mariano Pavone, húvol ha'ãhára Argentina pegua.
Wikipedia 	PMID 24592068. Wikimedia Commons tiene una gran colección de libros de texto.	PMID 24592068.  Wikimedia Commons oguereko ta'ãnga Jepohéi reheguaCommons.
Wikipedia 	El mapa de Ocampo Coyotillos de 1927.	Apaxco de Ocampo Coyotillos 1927 ary.
Wikipedia 	Ahora bien, la lengua es un fuego. La lengua constituye un mundo de maldad.	Pakova (karaiñe'ẽ: plátano, banana, lasioñe'ẽ: Musa × paradisiaca) oĩ peteĩ ñana.
Wikipedia 	El día del Santo es el Día del Juicio, en el cual se celebra el Miércoles en honor de la Virgen del Rosario.	Santo ára jeguerohory ko'ápe ha'e upe peteĩha ára domingo jasypápe, Tupãsy Virgen del Rosario rérape.
Wikipedia 	1915: Nicholas Metrópolis, ⁇  y algunos físicos de la Antigua República ⁇  de Macedonia (que murió en 1999).	1915: Nicholas Metropolis, matemático ha físico Tetãvore Joapykuéra pegua de origen griego (ary omano: 1999).
Wikipedia 	1915: Stringbean, cantante de banjo en ⁇  (quien falleció en 1973).	1915: Stringbean, opurahéiva e intérprete de banjo Tetãvore Joapykuéra pegua (ary omano 1973).
Wikipedia 	y su boca está llena de maldición y de amargura. Con su lengua engaña a la gente, y esparce por todas partes el polvo de la tierra.	Iñe'ẽ pu py'ahetáva ha opuraheikuaáva opaichagua mba'epuporã, hetave mbytépe upe country, rock, góspel ha blues.
Wikipedia 	«Sri Lanka - Pakistan - Libro Mundial de Hechos	«Sri Lanka - Geografía - Libro Mundial de Hechos».
Wikipedia 	Tras la Guerra de la Triple Alianza quedó en manos de los soldados argentinos y le pusieron el nombre de "Villa Argentina".	Guerra de la Triple Alianza opa rire opyta Argentina soldado-kuéra pópe ha ombohéra chupe hikuái "Villa Argentina".
Wikipedia 	Hero In Me, cuya imagen paraguaya es Dadnapped (2009).	Hero In Me, ta'anga omúiva guarã Dadnapped (2009).
Wikipedia 	Consiguieron que el matandi de Caranzandi habita dos, tres hogares.	Ojejapo karanda'y mátandi oikokuaávape mokõi, mbohapy ogaygua.
Wikipedia 	1991: Alfredo Fernández Simó, escritor dominicano (año 1915).	1991: Alfredo Fernández Simó, haihára dominicano (ary reñói: 1915).
Wikipedia 	También podemos encontrar a jaguares (Felis), leones americanos (Felis concolor) y numerosos ganados.	Avei ikatu jajuhu jaguarete (Felis), león americano (Felis concolor) ha hetave mymbakuéra ojeikuaáva oĩha ko'árupi.
Wikipedia 	Así que sigamos adelante hasta llegar a ser adultos.	Ñamoñepyrũ haguã ko chipa'apo ñambojehe'a ñandy imbaretemi meve.
Wikipedia 	Hay un gran templo construido por Misioneros Franciscanos y terminado en el año 1753. Entonces es la sede del sumo sacerdote Gaspar de Medina en el templo de la gran estatua de Dios, en el cual se celebra el tercer día de cada semana, donde se pueden ver dos edificios de moral y terrenos aptas para el descanso de la ciudadanía, además de 30 escuelas, 10 escuelas superiores, 1 institutos universitarios y un verdadero centro de re	Oĩ peteĩ Tupão tuicháva Misioneros Franciscanos ojapova'ekue ha oñemohu'ãva ary 1753-pe; upérõ Pa'i Gaspar de Medina omyakã ñepyrũ upe tenda oĩhápe Ñandejáraguasu ra'ãnga, hi'ára ojegueromandu'a mbohapyha arateĩ jave, upépe jahecha mokõi okavusu potĩ ha ijyvyraguy porãva tavaygua ohoha opytu'u, avei 30 mbo'ehao ñepyrũha, 10 mbo'ehao yvateve,1 mbo'ehaovusu mbo'ehararã oñemoaranduha ha tavaygua ijaguaraha añete peteĩ tekopyahu ñembyaty jerokýpe ikatupyrýva (Ballet Piribebuy Jeroky), ogueraháva táva réra yvate ñane retã tuichakue jave ha ambue tetãme.
Wikipedia 	En la Municipalidad había un destacamento y en el otro un destacamento.	Pe Tava'ietépe oĩ va'ekue peteĩ destacamento ha Enrramadítape ambue.
